"Question Type","Question Text","Choices","Scoring","Block"
"Block","## Session 2: Depth & Coherence ## Thank you for completing the second session. Please reflect on the following aspects.","","","Session 1"
"MC","The characters seemed to remember and build upon our previous conversations.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 1"
"MC","The world and the characters within it felt consistent and coherent.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 1"
"MC","I noticed relationships or history between the different characters.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 1"
"MC","My actions felt like they influenced the characters' attitudes towards me.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 1"
"TE","Describe a moment that felt particularly social or realistic.","","","Session 1"
"MC","Different NPCs responded in distinct ways to similar inputs during this session.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 1"
"TE","Describe a concrete example where two NPCs differed in their behavior or relationship dynamics in this session.","","","Session 1"
"Block","## Within-Session Social Comparison ## Compare Part 1 vs Part 2 (Test 1 vs Test 2)","","","Session 1"
"MC","Which part of this session felt more socially coherent (NPC relationships and interactions)?","Part 1 | Part 2 | About the same","","Session 1"
"MC","Which part showed stronger NPC memory/awareness of prior interactions?","Part 1 | Part 2 | About the same","","Session 1"
"TE","Please enter some facts that you learned about a specific NPC or its relationship","","","Session 1"
"MC","(For Researcher Use) Session ID","Session 1","","Session 1"
